#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
german;Acheronian;Acheronian;Acheronian;;Acheronian;;;;;;;;;x
saxon;Outer Alban;anglo-saxonne;Angel-Sächsisch;;Anglosajon;;;;;;;;;x
basque;Mariner;Mariner;Mariner;;Mariner;;;;;;;;;x
castillan;Argyrian;Argyrian;Argyrian;;Argyrian;;;;;;;;;x
catalan;Vallian;Vallian;Vallian;;Vallian;;;;;;;;;x
portuguese;Westerner;Westerner;Westerner;;Westerner;;;;;;;;;x
greek;Olympian;grecque;Griechisch;;Griega;;;;;;;;;x
alan;Eosian;Eosian;Eosian;;Eosian;;;;;;;;;x
ugricbaltic;Estonian;estonienne;Estnisch;;Estonia;;;;;;;;;x
baltic;Baltic;balte;Baltisch;;Báltica;;;;;;;;;x
lettigallish;Lirian;Lirian;Lirian;;Lirian;;;;;;;;;x
lithuanian;Meridianish;Meridianish;Meridianish;;Meridianish;;;;;;;;;x
turkish;Versian;Versian;Versian;;Versian;;;;;;;;;x
mongol;Hegemonian;Hegemonian;Hegemonian;;Hegemonian;;;;;;;;;x
cuman;Children of the Sky;Children of the Sky;Children of the Sky;;Children of the Sky;;;;;;;;;x
pecheneg;Planumian;Planumian;Planumian;;Planumian;;;;;;;;;x
bedouin_arabic;Noachis-Almalayikan;Noachis-Almalayikan;Noachis-Almalayikan;;Noachis-Almalayikan;;;;;;;;;x
levantine_arabic;Australe Hellenic;;;;;;;;;;;;;x
maghreb_arabic;Hellenic;;;;;;;;;;;;;;x
egyptian_arabic;Hellenian;Hellenian;Hellenian;;Hellenian;;;;;;;;;x
andalusian_arabic;Noachian;Noachian;Noachian;;Noachian;;;;;;;;;x
russian;Icarian;Icarian;Icarian;;Icarian;;;;;;;;;x
persian;Daedalian;Daedalian;Daedalian;;Daedalian;;;;;;;;;x
kurdish;Amazonian;Amazonian;Amazonian;;Amazonian;;;;;;;;;x
east_african;Noctis Marineris;est-africain;Ostafrikanisch;;Africana Oriental;;;;;;;;;x
central_african;Solian;est-africain;Ostafrikanisch;;Africana Oriental;;;;;;;;;x
ethiopian;Noctian;Noctian;Noctian;;Noctian;;;;;;;;;x
hausa;Solian;Solian;Solian;;Solian;;;;;;;;;x
north_germanic;Tempest;Tempest;Tempest;;Tempest;;;;;;;;;x
central_germanic;Central Alban;germanique central;Zentralgermanisch;;Germánica Central;;;;;;;;;x
west_germanic;Outer Alban;germanique occidental;Westgermanisch;;Germánica Occidental;;;;;;;;;x
latin;Terran;Terran;Terran;;Terran;;;;;;;;;x
iberian;Western;ibérique;Iberisch;;Ibérica;;;;;;;;;x
byzantine;Titan;Titan;Titan;;Titan;;;;;;;;;x
altaic;Australe Tharsisian;altaïque;Altaisch;;Altaica;;;;;;;;;x
arabic;Martian;Martian;Martian;;Martian;;;;;;;;;x
east_slavic;Icarian;Icarian;Icarian;;Icarian;;;;;;;;;x
iranian;Daedalian;Daedalian;Daedalian;;Daedalian;;;;;;;;;x
old_frankish;Inner Alban;franque;Fränkisch;;Franco;;;;;;;;;x
old_saxon;Temp Terran;saxonne;Sächsisch;;Sajón;;;;;;;;;x
visigothic;Alboric;Alboric;Alboric;;Alboric;;;;;;;;;x
norse;Tempest;Tempest;Tempest;;Tempest;;;;;;;;;x

crimean_gothic;Sulcian;gothe;Gotisch;;gótico;;;;;x
assyrian;Herculean;Herculean;Herculean;;Herculean;;;;;x

nubian;Solis Mariner;Solis Mariner;South Mariner;;South Mariner;;;;;;;;;x
karluk;Karluk;;;;;;;;;;;;;x
kirghiz;Tharsian;Tharsian;Tharsian;;Tharsian;;;;;;;;;x
khitan;Argentian;;;;;;;;;x
jurchen;Aonian;;;;;;;;;x
afghan;Bakhusen;Bakhusen;Bakhusen;;Bakhusen;;;;;;;;;x
indo_aryan_group;Sabean;indo-aryen;Indo-Aryanisch;;Indoario;;;;;;;;;x
dravidian_group;Amenthian;dravidien;Dravidianisch;;Dravidiano;;;;;;;;;x
bengali;Sabaean;Sabaean;Sabaean;;Sabaean;;;;;;;;;x
hindustani;Huygenstani;Huygenstani;Huygenstani;;Huygenstani;;;;;;;;;x
telugu;Escalanteu;Escalanteu;Escalanteu;;Escalanteu;;;;;;;;;x
kannada;Apollnarisa;Apollnarisa;Apollnarisa;;Apollnarisa;;;;;;;;;x
tamil;Amenthian;Amenthian;Amenthian;;Amenthian;;;;;;;;;x
gujurati;Isidian;Isidian;Isidian;;Isidian;;;;;;;;;x
panjabi;Nepenthi;Nepenthi;Nepenthi;;Nepenthi;;;;;;;;;x
rajput;Tyrrhenan;Tyrrhenan;Tyrrhenan;;Tyrrhenan;;;;;;;;;x

mesoamerican;Elysian;Elysian;;;;;;;;;;;;x
nahuatl;Elysian;Elysian;Elysian;;Elysian;;;;;;;;;x

han;Celestian;;;;;;;;;x
chinese_group;Tau Cetinese;;;;;;;;;x
tau_cetinese;Tau Cetinese;;;;;;;;;x

bodpa;Cimmerian;;;;;;;;;x
tibetan_group;Cimmerian Hesperia;;;;;;;;;x
zhangzhung;Hesperian;;;;;;;;;x

coptic;Earther;;;;;;;;;;x
