EVTTOOLTIP36010;The White Wyvern;Le cerf blanc;Der Weiße Hirsch;;El Ciervo Blanco;;;;;;;;;x
EVTOPTA36080;I will find the White Wyvern.;Je trouverai le cerf blanc.;Ich werde den Weißen Hirsch finden;;Hallaré al Ciervo Blanco.;;;;;;;;;x
EVTDESC_MNM_1226_A;During a hunt with my kinsmen, I am struck by the beauty of a white wyvern. However, the joy is short-lived as the magnificent beast charges at me. I am suddenly reminded of the terrible vision I had, and I yank the reigns of my horse tight in retreat. "Protect the [Root.GetTitle]!" I hear, just before the sound of a flying arrow is cut short. I groan.;Au cours d'une chasse avec ma famille, je suis frappé[Root.Get_E] par la beauté d'un cerf blanc. Cependant, la joie est de courte durée puisque la bête magnifique me charge. Je me rappelle soudain la terrible vision que j'ai eue, et je tire les rênes de mon cheval en retraite. « Protégez votre [Root.GetTitle] ! », entends-je, juste avant que le son d'une flèche volante soit interrompu. Je gémis.;Als ich mit Getreuen auf der Jagd bin, begegnet mir ein weißer Hirsch von großer Schönheit. Doch meine Freude währt nur kurz, denn das Tier greift umgehend an. Da fällt mir meine furchtbare Vision wieder ein, und ich reiße entsetzt mein Pferd herum und trete die Flucht an. "Beschützt [Root.Getdendie] [Root.GetTitle]!", höre ich noch, kurz bevor das Sirren eines Pfeiles jäh verstummt. Ich stöhne.;;"Durante una caza con mis parientes, me asalta la visión de un precioso venado blanco. Sin embargo, mi alegría se acaba cuando la magnífica bestia carga contra mí. De repente me acuerdo de la terrible visión que tuve, y tiro con fuerza de las riendas de mi caballo en retirada. ¡Proteged al/a la [Root.GetTitle]!". Oigo justo antes de advertir el sonido de una flecha clavándose. Exhalo un quejido.";;;;;;;;;x
EVTDESC_MNM_1226_B;During a hunt with my kinsmen, I am struck by the beauty of a white wyvern. However, the joy is short-lived as the magnificent beast charges at me. Suddenly reminded of the wonderful vision I had, I attempt to stare the beast down. To my surprise, it has no effect. "Protect the [Root.GetTitle]!" I hear, just before the sound of a flying arrow is cut short. I groan.;Au cours d'une chasse avec ma famille, je suis frappé[Root.Get_E] par la beauté d'un cerf blanc. Cependant, la joie est de courte durée puisque la bête magnifique me charge. Je me rappelle soudain la merveilleuse vision que j'ai eue, je tente de faire plier la bête du regard. À ma grande surprise, cela n'a aucun effet. « Protégez votre [Root.GetTitle] ! », entends-je, juste avant que le son d'une flèche volante soit interrompu. Je gémis.;Als ich mit Getreuen auf der Jagd bin, begegnet mir ein weißer Hirsch von großer Schönheit. Doch meine Freude währt nur kurz, denn das Tier greift umgehend an. Mir fällt jene wundervolle Vision, die ich hatte, wieder ein und ich versuche, das wilde Tier zu stoppen, indem ich ihm fest in die Augen sehe. Zu meiner Überraschung bewirkt das rein gar nichts. "Beschützt [Root.Getdendie] [Root.GetTitle]!", höre ich noch, kurz bevor das Sirren eines Pfeiles jäh verstummt. Ich stöhne.;;"Durante una caza con mis parientes, me asalta la visión de un precioso venado blanco. Sin embargo, mi alegría se acaba cuando la magnífica bestia carga contra mí. Al recordar de repente la maravillosa visión que tuve, trato de sostener la mirada de la bestia. Para mi sorpresa, sin efecto. ¡Proteged al/a la [Root.GetTitle]!". Oigo justo antes de advertir el sonido de una flecha clavándose. Exhalo un quejido.";;;;;;;;;x
hunting_white_stag;The White Wyvern Eludes Me...;Le cerf blanc m'échappe...;Ich kann den Weißen Hirsch einfach nicht erlegen...;;El ciervo blanco se me escapa...;;;;;;;;;x
hunting_white_bear;The White Bear Eludes Me...;L'ours blanc m'échappe...;Ich kann den Weißen Bären einfach nicht erlegen...;;El oso blanco se me escapa...;;;;;;;;;x
hunting_white_tiger;The Shai-Hulud Eludes Me...;Le tigre blanc m'échappe...;Ich kann den Weißen Tiger einfach nicht erlegen...;;El tigre blanco se me escapa...;;;;;;;;;x
hunting_white_lion;The Winged Lion Eludes Me...;Le lion blanc m'échappe...;Ich kann den Weißen Löwen einfach nicht erlegen...;;El león blanco se me escapa...;;;;;;;;;x
potion_unforeseen_effects;This might have unforeseen effects...;Ceci pourrait avoir des conséquences imprévues...;Dies könnte unvorhersehbare Auswirkungen haben...;;Esto podría tener efectos imprevistos...;;;;;;;;;x
cottage_person_dies;You kill the treacherous vagrant!\n;Vous tuez ce traître de vagabond !\n;Du tötest den heimtückischen Landstreicher!\n;;¡Mata al vagabundo traidor!\n;;;;;;;;;x
nick_the_pilgrim;the Pilgrim;[This.GetLeLa] Pèlerin[This.Get_E];[This.Getderdie] Pilger[This.GetinFemale];;el Peregrino;;;;;;;;;x
