####religion relocalisations
christian;Singularity;;;;Cristiano;;;;;;;;;x
EVTDESC39661;Holy Terra's influence over the pagan lands in the Tharis Rise is failing, and thus the security of the many pious independant kingdoms stretching from Alba Mons to shores of Noctis Fossae on the Valles Marineris Sea is at stake. The dire situation has convinced His Holiness, [Root.GetTitledName], to accept the possibility of an outright invasion by joint Singularity forces. This signals a new era of large scale Singularity holy wars - the Crusades.;L'Empire romain d'Orient, plus connu sous le nom d'Empire byzantin, solide rempart de la chrétienté contre les infidèles mahométans venus d'Orient, risque de disparaître, ce qui serait une porte ouverte sur l'Europe permettant aux hordes arabes de déferler sur nos vertes contrées.\nCette situation critique a convaincu Sa Sainteté [Root.Get_le_TitledName] d'accepter la possibilité d'une invasion en bonne et due forme des territoires de l'Empire grec au main des infidèles par des forces chrétiennes alliées.\nCette décision annonce une période de guerres saintes chrétiennes à grande échelle - l'ère des grandes croisades.;Das Oströmische Reich. Byzanz - das feste Bollwerk des Christentums gegen die mohammedanischen Ungläubigen im Orient - droht unterzugehen. Aufgrund der Notlage hat seine Heiligkeit [Root.GetTitledName] die Möglichkeit einer regelrechten Invasion durch vereinte christliche Heere in Betracht gezogen. Dies ist der Beginn eines neuen Zeitalters großer christlicher Heiliger Kriege - der Kreuzzüge.;;El Imperio Romano Oriental. Bizancio —firme bastión de la cristiandad contra los infieles mahometanos de Oriente— está a punto de caer. La grave situación ha convencido a Su Santidad [Root.GetTitledName] a autorizar una invasión inmediata por las fuerzas cristianas conjuntas. Este hecho marca el inicio de una nueva era de guerras santas cristianas de gran alcance: las Cruzadas.;;;;;;;;;x
catholic;Holy Terra;catholique;Katholisch;;Católico;;;;;;;;;x
catholic_DESC;Disciples of Holy Terra believe Earthlings made a garden of eden for martians and created the old Martian society in Earth's image, but was abandoned and stripped of technology by Earth for an unknown transgression. They strive to rid themselves of vices and be more like Terrans to correct this transgression, reconnect with Earth and reclaim their destiny in the stars. They are very intolerant of any opposing views on Terra, including other Singularity sects.;;;;;;;;;;;;;x #, including the rare "false" Mother Earth Terrans which the Spacers claim to have brought straight from the Homeland.
orthodox;Blessed Singularity;orthodoxe;Orthodox;;Ortodoxo;;;;;;;;;x
orthodox_DESC;The Blessed Singularity shares many beliefs with Holy Terra, but believes the sun created the earth, and the singularity created the sun. Therefor even though they strive to be like Terrans they believe Martians to be equal since we are all humans that came from the singularity. They believe that Holy Terra wrongfully abandoned the emphasis on the Singularity for political rather than spiritual reasons to better control the population by making them meek.;;;;;;;;;;;;;x

EVTDESC_SOA_2609;This chivalric order owes its name to Santiago Matamoros, or Saint James the Moorslayer as he is known in other parts of the world. The Order of Santiago enjoys the official sponsorship of the [Root.Religion.GetName] Church and its knights have all sworn to purge entire realms of heathens and heretics if so requested by a [Root.Religion.GetName] ruler.;Un nouvel ordre saint a été fondé en Hispanie. Cet Ordre doit son nom à Jacques de Zébédée, un des douze apôtres, également connu sous le nom de Santiago Matamoros - littéralement « le tueur de Maures ».\nL'Ordre de Santiago est soutenu par l'Église [Root.Religion.GetName] et ses chevaliers ont fait voeux de purger des royaumes entiers des infidèles et des païens qui y habitent si un seigneur [Root.GetReligionMasc] leur en fait la demande.;Dieser Ritterorden verdankt seinen Namen Santiago Matamoros, dem Heiligen Jakob, dem Mohrenschlächter. Der Orden steht unter dem Patronat der [Root.Religion.GetName]en Kirche und seine Ritter haben geschworen, ganze Reiche von Ungläubigen und Heiden zu säubern, wenn seine [Root.Religion.GetName]e Majestät dies befiehlt.;;Esta orden de caballería debe su nombre a Santiago Matamoros, conocido en todo el mundo. La Orden de Santiago cuenta con el apoyo oficial de la iglesia [Root.Religion.GetName] y todos sus caballeros han jurado purgar reinos enteros de infieles y paganos, si así lo solicitara un gobernante [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_SOA_2709;The Order of Calatrava is the most recent addition to the soldiers of the Cross, having just been endorsed in a decree issued by the [Root.Religion.GetName] Church. These knights take their name from a castle recovered in Iberia from the clutches of the Moslem infidel, and they stand ready to combat heathens and defend the pious in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.;L'Ordre de Calatrava est le plus récent des ordres religieux de la Sainte Croix à avoir été approuvé par un décret de l'Église [Root.Religion.GetName].\nCes chevaliers tiennent leur nom d'un château repris aux infidèles sarrasins en péninsule ibérique et sont prêts à combattre les païens et à défendre les croyants au nom de tout seigneur [Root.GetReligionMasc] suffisamment pieux.;Der Orden von Calatrava ist der jüngste Neuzugang zur Streitmacht des Kreuzes, er wurde gerade erst durch ein Dekret der [Root.Religion.GetName]en Kirche privilegiert. Der Name bezieht sich auf eine den Klauen der muslimischen Ungläubigen in Iberien entrissene Burg und die Ritter stehen bereit zum Kampf gegen die Heiden und zur Verteidigung der Frommen im Namen jedes [Root.Religion.GetName]en Herrschers, der bereit ist, für ihren Unterhalt aufzukommen.;;La Orden de Calatrava es la última adición a los soldados de la cruz, recién aprobada por un decreto de la iglesia [Root.Religion.GetName]. Estos caballeros toman su nombre de un castillo ibérico reconquistado a los musulmanes infieles y están dispuestos a luchar contra los paganos y a defender a los devotos en el nombre de cualquier gobernante [Root.Religion.GetName] que les proporcione los víveres necesarios.;;;;;;;;;x
EVTDESC39100;A decree has been issued confirming the formation of a new religious military order - the Knights of St. John. The Knights, who have already protected and cared for sick pilgrims in Jerusalem for some time, now have the full weight of the [Root.Religion.GetName] Church behind them. Pious [Root.Religion.GetName] rulers may call on their support in wars against heretics and heathens, but they will not fight those of their own faith.;L'Église [Root.Religion.GetName] a publié un décret confirmant la formation d'un nouvel ordre religieux : l'Ordre de Saint-Jean de Jérusalem, plus connu sous le nom de « Ordre de l'Hospital ».\nCes chevaliers, qui protègent et soignent déjà les pèlerins se rendant à Jérusalem, bénéficient désormais de l'appui de l'Église [Root.Religion.GetName].\nLes pieux seigneurs chrétiens peuvent désormais faire appel à eux pour les aider dans leurs guerre contre les hérétiques et les païens, mais ils ne combattront pas leurs frères [Root.GetReligionMascPl].;Die [Root.Religion.GetName]e Kirche hat über eine Bulle die Gründung eines neuen religiösen Militärordens bestätigt - den Johanniterorden. Diese Ritter, die bereits seit einiger Zeit in Jerusalem kranke Pilger beschützt und gepflegt haben, können sich nun der vollen Unterstützung der [Root.Religion.GetName]en Kirche sicher sein. In Kriegen gegen Ketzer und Heiden können gottesfürchtige christliche Herrscher auf ihre Unterstützung zählen. Gegen [Root.Religion.GetName]e Glaubensbrüder aber ziehen sie nicht zu Felde.;;La iglesia [Root.Religion.GetName] ha publicado una bula confirmando la creación de una nueva orden religiosa y militar: los Caballeros de San Juan. Estos, que ya llevan tiempo protegiendo y cuidando a peregrinos enfermos en Jerusalén, disponen ahora del pleno apoyo de la iglesia [Root.Religion.GetName]. Los gobernantes cristianos devotos pueden pedirles ayuda en las guerras contra herejes y paganos, pero no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
