province;red;green;blue;x;x
1;151;2;79;Province0001;x
2;90;76;3;Province0002;x
3;237;161;55;Province0003;x
4;229;237;92;Province0004;x
5;216;19;81;Province0005;x
6;204;92;125;Province0006;x
7;96;68;33;Province0007;x
8;81;181;9;Province0008;x
9;130;145;61;Province0009;x
10;110;43;45;Province0010;x
11;141;109;106;Province0011;x
12;247;106;98;Province0012;x
13;164;28;121;Province0013;x
14;217;10;46;Province0014;x
15;169;132;9;Province0015;x
16;208;54;100;Province0016;x
17;252;139;41;Province0017;x
18;75;108;49;Province0018;x
19;123;79;16;Province0019;x
20;246;167;27;Province0020;x
21;127;145;126;Province0021;x
22;155;141;34;Province0022;x
23;90;62;39;Province0023;x
24;77;84;90;Province0024;x
25;129;67;85;Province0025;x
26;79;19;125;Province0026;x
27;74;41;83;Province0027;x
28;144;191;123;Province0028;x
29;209;118;101;Province0029;x
30;94;117;100;Province0030;x
31;68;11;94;Province0031;x
32;240;198;36;Province0032;x
33;85;248;87;Province0033;x
34;235;133;68;Province0034;x
35;239;20;18;Province0035;x
36;105;192;14;Province0036;x
37;83;77;45;Province0037;x
38;215;238;4;Province0038;x
39;142;59;89;Province0039;x
40;76;200;61;Province0040;x
41;97;205;0;Province0041;x
42;200;200;28;Province0042;x
43;95;84;46;Province0043;x
44;121;52;110;Province0044;x
45;205;252;90;Province0045;x
46;94;139;10;Province0046;x
47;165;197;96;Province0047;x
48;166;39;52;Province0048;x
49;97;30;39;Province0049;x
50;186;152;41;Province0050;x
51;217;2;115;Province0051;x
52;121;147;28;Province0052;x
53;139;91;100;Province0053;x
54;72;117;60;Province0054;x
55;201;39;93;Province0055;x
56;131;118;9;Province0056;x
57;252;58;90;Province0057;x
58;124;125;120;Province0058;x
59;82;102;82;Province0059;x
60;185;57;90;Province0060;x
61;126;103;10;Province0061;x
62;230;63;80;Province0062;x
63;89;78;98;Province0063;x
64;167;77;105;Province0064;x
65;82;186;6;Province0065;x
66;233;62;101;Province0066;x
67;184;94;71;Province0067;x
68;95;229;121;Province0068;x
69;155;148;54;Province0069;x
70;250;221;116;Province0070;x
71;212;26;33;Province0071;x
72;154;144;31;Province0072;x
73;98;237;70;Province0073;x
74;143;89;104;Province0074;x
75;169;73;5;Province0075;x
76;176;232;114;Province0076;x
77;69;199;63;Province0077;x
78;227;152;49;Province0078;x
