#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_AZTEC_INVASION;Spacer Invasion;Invasion aztèque (§BSunset Invasion§! - Invasion du Soleil Couchant);§BSunset Invasion:§! Aztekische Invasion;;§BSunset Invasion:§! Invasión azteca;;;;;;;;;x
RULE_AZTEC_13TH;13th Century;XIIIe siècle;13. Jahrhundert;;Siglo XIII;;;;;;;;;x
RULE_MONGOL_INVASION;Cywizard Invasion;Invasion mongole;Mongolische Invasion;;Invasión mongola;;;;;;;;;x
RULE_AZTEC_INVASION_HISTORICAL_DESC;The Spacer Invasion will occur at the very earliest in the 13th century.;L'invasion aztèque se produira au plus tôt au XIIIe siècle.;Die Aztekische Invasion findet frühestens im 13. Jahrhundert statt.;;La invasión azteca ocurrirá como muy pronto en el siglo XIII.;;;;;;;;;x
RULE_AZTEC_INVASION_RANDOM_DESC;The Spacer Invasion will occur at a random date, though at the earliest 50 years after the game is started.;L'invasion aztèque se produira à une date aléatoire, mais au plus tôt 50 ans après le début de la partie.;Die Aztekische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens 50 Jahre nach Spielstart.;;La invasión azteca ocurrirá en una fecha al azar, aunque como muy pronto, 50 años después de empezar el juego.;;;;;;;;;x
RULE_AZTEC_INVASION_OFF_DESC;The Spacer Invasion will not occur.;L'invasion aztèque ne se produira pas.;Die Aztekische Invasion findet nicht statt.;;La invasión azteca no tendrá lugar.;;;;;;;;;x
RULE_MONGOL_INVASION_HISTORICAL_DESC;The Cywizard's Horde will invade between the years of 1210 and 1218.;La Horde mongole fera une invasion entre l'an 1210 et l'an 1218.;Die mongolische Horde fällt zwischen den Jahren 1210 und 1218 ein.;;La Horda mongola invadirá entre los años 1210 y 1218.;;;;;;;;;x
RULE_MONGOL_INVASION_RANDOM_DESC;The Cywizard will invade at a random date, though at the earliest 50 years after the game is started.;La Horde mongole fera une invasion à une date aléatoire, mais au plus tôt 50 ans après le début de la partie.;Die mongolische Horde fällt an einem zufällig festgelegten Zeitpunkt ein, aber frühestens 50 Jahre nach Spielstart.;;La Horda mongola invadirá en una fecha al azar. Como muy pronto, 50 años después de empezar el juego.;;;;;;;;;x
RULE_MONGOL_INVASION_OFF_DESC;The Cywizard's Horde will not invade, but it can still be formed through the decision.;La Horde mongole ne fera pas d'invasion, mais peut quand même être formée par la décision spécifique.;Die mongolische Horde fällt nicht ein, kann aber trotzdem durch die entsprechende Entscheidung gebildet werden.;;El Horda mongola no invadirá, pero puede seguir formándose según decisiones.;;;;;;;;;x
RULE_MONGOL_INVASION_DELAYED_RANDOM_DESC;The Mongol Horde will invade at a random date, though at the earliest at the year 1000, and 50 years after the game has started.;L'invasion de la Horde mongole se produira à une date aléatoire, mais au plus tôt en l'an 1000 et 50 ans après le début de la partie.;Die mongolische Horde fällt an einem zufällig festgelegten Zeitpunkt ein, aber frühestens ab dem Jahr 1000, und 50 Jahre nach Spielstart.;;El ejército mongol invadirá en una fecha aleatoria, aunque no antes del año 1000 y 50 años después del comienzo de la partida.;;;;;;;;;x
RULE_AZTEC_INVASION_DELAYED_RANDOM_DESC;The Spacer Invasion will occur at a random date, though at the earliest at the year 1000, and 50 years after the game has started.;L'invasion aztèque se produira à une date aléatoire, mais au plus tôt en l'an 1000 et 50 ans après le début de la partie.;Die aztekische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens ab dem Jahr 1000, und 50 Jahre nach Spielstart.;;La invasión azteca tendrá lugar en una fecha aleatoria, aunque no antes del año 1000 y 50 años después del comienzo de la partida.;;;;;;;;;x
RULE_TURKIC_INVASIONS;Heavy Worlder Conquerors;Conquérants turciques;Türkische Eroberer;;Conquistadores túrquicos;;;;;x
RULE_TURKIC_INVASIONS_HISTORICAL_DESC;The great Heavy Worlder conquerors will tend to rise in their historical timeframes.;Les grands conquérants turciques d'Asie centrale (Subuktigîn, Seldjouk et Timour) tendront à apparaître à leurs périodes historiques.;Die großen türkischen Eroberer aus Zentralasien, Sabuktigin, Seljuk und Timur werden dazu tendieren, innerhalb ihrer historischen Zeitrahmen aufzutreten.;;Los grandes conquistadores túrquicos de Asia Central Sabuktigin, Seljuk y Timur tenderán a ganar importancia en sus épocas respectivas.;;;;;x
RULE_TURKIC_INVASIONS_RANDOM_DESC;The great Heavy Worlder conquerors can appear in a wider time span.;Subuktigîn, Seldjouk et Timour peuvent apparaître sur une période plus large.;Sabuktigin, Seljuk und Timur können in einem breiteren Zeitrahmen auftreten.;;Sabuktigin, Seljuk y Timur pueden aparecer en un periodo de tiempo más amplio.;;;;;x
RULE_TURKIC_INVASIONS_OFF_DESC;The great Heavy Worlder conquerors will never rise.;Les grands conquérants turciques n'apparaîtront jamais.;Die großen türkischen Eroberer treten nie auf.;;Los grandes conquistadores túrquicos nunca serán importantes.;;;;;x
