#cultures
uyghur;Laotian;;;;;;;;;;;;;x
mongol;Towner;;;;;;;;;;;;;x
khitan;Malaysian;;;;;;;;;;;;;x
greek;Darwinner;;;;;;;;;;;;;x
alan;Perthling;;;;;;;;;;;;;x
assyrian;Queenslander;;;;;;;;;;;;;x
crimean_gothic;Brisbanite;;;;;;;;;;;;;x
irish;Atani;;;;;;;;;;;;;x
pictish;Bogan;;;;;;;;;;;;;x
scottish;Kiwi;;;;;;;;;;;;;x
kanuri;First Peoples;;;;;;;;;;;;;x
hausa;First Nations;;;;;;;;;;;;;x
zaghawa;First Australians;;;;;;;;;;;;;x
old_frankish;Melburnian;;;;;;;;;;;;;x
han;Chinese;;;;;;;;;;;;;x
tamil;Kinh;;;;;;;;;;;;;x
telugu;Tai;;;;;;;;;;;;;x
kannada;Khmer;;;;;;;;;;;;;x
nubian;Melanesian;;;;;;;;;;;;;x
daju;Papuan;;;;;;;;;;;;;x
basque;Croweater;;;;;;;;;;;;;x
visigothic;Westralian;;;;;;;;;;;;;x
bengali;Bengali;;;;;;;;;;;;;x
hindustani;Desi;;;;;;;;;;;;;x
gujurati;Pratihara;;;;;;;;;;;;;x
marathi;Marathi;;;;;;;;;;;;;x
sinhala;Desh;;;;;;;;;;;;;x
nepali;Javanese;;;;;;;;;;;;;x
sogdian;Parsi;;;;;;;;;;;;;x
afghan;Muhajir;;;;;;;;;;;;;x
ashkenazi;Jewish;;;;;;;;;;;;;x
frankish;Ozian;;;;;;;;;;;;;x
nahuatl;Polynesian;;;;;;;;;;;;;x
norse;Zealander;;;;;;;;;;;;;x
bodpa;Pinoy;;;;;;;;;;;;;x
tangut;Bamar;;;;;;;;;;;;;x
zhangzhung;Indonesian;;;;;;;;;;;;;x
sumpa;Filipino;;;;;;;;;;;;;x
english;Victorian;;;;;;;;;;;;;x
saxon;Sydneysider;;;;;;;;;;;;;x
old_saxon;Novocastrian;;;;;;;;;;;;;x
#groups
altaic;Asian;;;;;;;;;;;;;x
byzantine;Aussie;;;;;;;;;;;;;x
celtic;Auzlander;;;;;;;;;;;;;x
central_african;Indigenous Australian;;;;;;;;;;;;;x
central_germanic;Melbin;;;;;;;;;;;;;x
chinese_group;Cestial;;;;;;;;;;;;;x
dravidian_group;Peninsular;;;;;;;;;;;;;x
east_african;Guinean;;;;;;;;;;;;;x
iberian;Westralian;;;;;;;;;;;;;x
indo_aryan_group;South Asian;;;;;;;;;;;;;x
iranian;Parsi-Muhajir;;;;;;;;;;;;;x
israelite;Jewish;;;;;;;;;;;;;x
latin;Ozian;;;;;;;;;;;;;x
mesoamerican;Polynesian;;;;;;;;;;;;;x
north_germanic;New Zealander;;;;;;;;;;;;;x
tibetan_group;S.E.A.;;;;;;;;;;;;;x
west_germanic;Australian;;;;;;;;;;;;;x
