#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
city_emperor;Grand Prince;Grand Prince;Grand Prinz;;Gran Príncipe;;;;;;;;;x
city_king_latin;Serene Doge;Doge Sérénissime;Durchlauchter Doge;;Duque Sereno;;;;;;;;;x
city_king_byzantine;Serene Doge;Doge Sérénissime;Durchlauchter Doge;;Duque Sereno;;;;;;;;;x
city_king_muslim;Wali-Malik;Wali Malik;Wali-Malik;;Wali-Malik;;;;;;;;;x
city_duke_latin;Doge;Doge;Doge;;Dux;;;;;;;;;x
city_duke_byzantine;Doge;Doge;Doge;;Dux;;;;;;;;;x
city_duke_muslim;Wali-Emir;Wali Émir;Wali-Emir;;Emir-Valí;;;;;;;;;x


emperor_han;Admiral;;;;;;;;;;;;;x
emperor_title_ruler_consort_han;Mr. Admiral;;;;;;;;;;;;x
emperor_title_ruler_consort_female_han;Mrs. Admiral;;;;;;;;;;;;;x
born_in_the_purple;Born in the Purple;Né dans la pourpre;Purpurgeboren;;Nacido en la púrpura;;;;;;;;;x
born_in_the_purple_desc;This character is porphyrogennetos - literally "born in the purple." It is an honor bestowed only to children born of a ruling Emperor or Empress. Their fame often grows wider than that of older siblings born before their parents ascended the throne.;Ce personnage est un porphyrogénète – littéralement : « né dans la pourpre ». C'est un honneur conféré seulement aux enfants nés dans la chambre pourpre d'un palais impérial et issus d'un basileus ou d'une basilissa. Leur prétention à la succession est plus forte que celle de leurs aînés nés avant que leurs parents ne deviennent empereurs.;Dieser Charakter ist porphyrogennetos – wortwörtlich purpurgeboren. Diese Ehre wird nur den Kindern eines regierenden Basileus oder einer regierenden Basilissa der Porphyra des Kaiserpalastes zuteil. Ihr Erbfolgeanspruch ist stärker als der älterer Geschwister, die geboren wurden, bevor ihre Eltern den Thron bestiegen.;;Este personaje es porphyrogennetos - literalmente, "nacido en la púrpura". Es un honor otorgado sólo a los niños nacidos de un Basileus o Basileia reinante en la Cámara Púrpura del Palacio Imperial. Su derecho de sucesión es más fuerte que el de hermanos mayores nacidos antes de que sus padres ascendieran al trono.;;;;;;;;;x

king_han;Captain;;;;;;;;;;;;;x
king_title_ruler_consort_han;Mr. Captain;;;;;;;;;;;;x
king_title_ruler_consort_female_han;Mrs. Captain;;;;;;;;;;;;;x
title_prince_han;Cadet;;;;;;;;;;;;;x
title_prince_female_han;Cadet;;;;;;;;;;;;;x
duke_han;Commander;;;;;;;;;;;;;x
duke_title_ruler_consort_han;Mr. Commander;;;;;;;;;;;;x
duke_title_ruler_consort_female_han;Mrs. Commander;;;;;;;;;;;;;x
count_han;Lieutenant;;;;;;;;;;;;;x
count_title_ruler_consort_han;Mr. Lieutenant;;;;;;;;;;;;x
count_title_ruler_consort_female_han;Mrs. Lieutenant;;;;;;;;;;;;;x
baron_han;Officer;;;;;;;;;;;;;x
baron_title_ruler_consort_han;Mr. Officer;;;;;;;;;;;;x
baron_title_ruler_consort_female_han;Mrs. Officer;;;;;;;;;;;;;x

family_palace_han;Corporate Palace;;;;;;;;;;;;;x
family_palace_baron_han;CEO;;;;;;;;;;;;;x
family_palace_baron_female_han_;CEO;;;;;;;;;;;;;x
family_palace_baron_foa_han_;Sir;;;;;;;;;;;;;x
family_palace_baron_foa_han_female_han;Ma;;;;;;;;;;;;;;x
family_palace_barony_of_han;Chair of;Quartier général de;;;;;;;;;;;;x
family_palace_baron_deed_han;Chair of;;;;;;;;;;;;;x

city_emperor_han;Federal President;Président;Präsident;;Presidente;;;;;;;;;x
city_emperor_female_han;Federal President;Présidente;Präsident;Präsidentin;;Presidenta;;;;;;;;x
city_emperor_foa_han;Mister President;Monsieur le président;Herr Präsident;;Señor Presidente;;;;;;;;;x
city_emperor_foa_han_female_han;Madam President;Madame la présidente;Frau Präsidentin;;Señora Presidenta;;;;;;;;;x
city_emperor_title_ruler_consort_han;First Man;Epoux;;;;;;;;;;;x
city_emperor_title_ruler_consort_han_female_han;First Lady;Première dame;;;;;;;;;;;;x
city_empire_of;Federation of;Federation of;Federation of;;Federation of;;;;;;;;;x
city_empire;Federation;Federation;Federation;;Federation;;;;;;;;;x
