#religions
catholic;Catholic;;;;;;;;;;;;;x
orthodox;Protestant;;;;;;;;;;;;;x
sunni;Sunni;;;;;;;;;;;;;x
zoroastrian;Zoroastrian;;;;;;;;;;;;;x
norse_pagan;Pirate;;;;;;;;;;;;;x
norse_pagan_reformed;Pirate;;;;;;;;;;;;;x
west_african_pagan;Animism;;;;;;;;;;;;;x
west_african_pagan_reformed;Animism;;;;;;;;;;;;;x
aztec;Scavenger's Cult;;;;;;;;;;;;;x
aztec_reformed;Scavenger's Cult;;;;;;;;;;;;;x
zun_pagan;Solarian;;;;;;;;;;;;;x
zun_pagan_reformed;Solarian;;;;;;;;;;;;;x
bon;Ancestor Worship;;;;;;;;;;;;;x
bon_reformed;Ancestor Worship;;;;;;;;;;;;;x
messalian;Cult of the Reborn;;;;;;;;;;;;;x
manichaean;Manichaean;;;;;;;;;;;;;x
tengri_pagan;New Age;;;;;;;;;;;;;x
norse_pagan;Pirate;;;;;;;;;;;;;x
christian;Christian;;;;;;;;;;;;;x
christian;Muslim;;;;;;;;;;;;;x
mazdan;Mazdan;;;;;;;;;;;;;x
pagan;Other;;;;;;;;;;;;;x
christianity;Christian;;;;;;;;;;;;;x
fraticelli;Anglican;;;;;;;;;;;;;x
Miaphysite;Seventh-Day Adventist;;;;;;;;;;;;;x
Monophysite;Fundamentalist;;;;;;;;;;;;;x
