#CODE;ENGLISH;;;;;;;;;x

title_mistress;Mistress;;;;;;;;;;;;;
title_mistress_desc;Your Official Royal Mistress. She keeps your bed warm when your wife will not perform her duties. Her position also comes with a bit of power;;;;;;;;;;;;;x

torture_remove_eye;Blind [Root.GetFirstName];;;x
torture_remove_eye_desc;You may order your men to have [Root.GetFirstName]'s eye removed as punishment for [Root.GetHerHis] crimes.;;;x

torture_remove_hand;Chop off [Root.GetFirstName]'s Hand;;;x
torture_remove_hand_desc;As a ruler, you may order your men to remove [Root.GetFirstName]'s dominant hand as a punishment.;;;x

torture_events_desc.1;Your men drag [From.GetFirstName] to the courtyard, kicking and screaming as they went along. Of course, [From.GetBestName] begged for mercy by the grace of [From.Religion.GetHighGodName] as you announced that you would be blinding [From.GetHerHim], but the decision is yours to make.;;;x
roy_torture_events.001.1;I've decided to spare you today.;;;x
roy_torture_events.001.2;Out with [From.GetHerHis] eye!;;;x

torture_events_desc.2;Your men drag [From.GetFirstName] to the courtyard, kicking and screaming as they went along. Of course, [From.GetBestName] begged for mercy by the grace of [From.Religion.GetHighGodName] as you announced that you would be cutting on of [From.GetHerHis] hands off, but the decision is yours to make.;;;x
roy_torture_events.002.1;Be glad it's not your head.;;;x

