#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
slavegood;This would benefit us all.;;;x
slavebad;My religion does not permit slavery.;;;x
custom_become_slave;[Root.GetFirstName] will become your slave;;;;;;;;;;;;;x
slave_rebellion;Angry Slaves;;;x
slave_rebellion_desc;The slaves in this province are upset. There is fear that some may organize a revolt.;;;x
armedslaves;Armed Slaves;;;x
armedslaves_desc;This character has enlisted slaves to fight in his army. This is seen as unsightly and desperate by nobility.;;;x
#CB
slave_raid;Slave Raid;;;;;;;;;;;;;x
slave_raid_desc;Begin a slave raid to fill your holdings.;;;;;;;;;;;;;x
CB_NAME_SLAVE;Slave Raid;;;;;;;;;;;;;x
WAR_NAME_SLAVE;$ORDER$$FIRST_ADJ$ Slave Raid on $SECOND$;;;;;;;;;;;;;x
anti_slavery;Anti-slavery War;;;;;;;;;;;;;x
anti_slavery_desc;The people of §Y$TITLE$§! practice the despicable custom of slavery. We must set their slaves free!;;;;;;;;;;;;;x
CB_NAME_ANTISLAVERY;Liberation of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_ANTISLAVERY;$CLAIMANT$'s$ORDER$ Liberation of $OTHER_TITLE$;;;;;;;;;;;;;x

#Opinions
opinion_enslaved_close_relative;Enslaved My Relative!;;;x
opinion_enslaved_me;Enslaved Me!;;;x
opinion_slave;My Slave;;;;;;;;;;;;;x
opinion_master;My Master;;;;;;;;;;;;;x
opinion_slaves_freed;Freed my Slaves;;;;;;;;;;;;;x
opinion_granted_freedom;Freed Me;;;x
opinion_freed_slave;Freed me;;;;;;;;;;;;;x
opinion_runaway;Runaway Slave;;;;;;;;;;;;;x
opinion_slave_raped;Forced Upon;;;;;;;;;;;;;x
opinion_slave_bred;Forced To Breed;;;;;;;;;;;;;x
opinion_slave_bred_with;Forced To Breed;;;;;;;;;;;;;x
opinion_threatened;Threatened me;;;;;;;;;;;;;x
opinion_lashed;Lashed me;;;;;;;;;;;;;x
opinion_tortured;Tortured me;;;;;;;;;;;;;x
opinion_brutally_tortured;Brutally Tortured me;;;;;;;;;;;;;x

#Buildings
ca_slave_hold_1;Slave Quarters;;;;;;;;;;;;;x
ca_slave_hold_1_desc;A holding to host a small number of slaves.;;;;;;;;;;;;;x
ca_slave_hold_2;Large Slave Quarters;;;;;;;;;;;;;x
ca_slave_hold_2_desc;A holding to host a large number of slaves.;;;;;;;;;;;;;x
ca_slave_hold_3;Massive Slave Quarters;;;;;;;;;;;;;x
ca_slave_hold_3_desc;A holding to host a massive number of slaves.;;;;;;;;;;;;;x

#Modifiers
boughtslaves;Traded Slaves;;;x
slave_host_1;Small Slave Camp;;;;;;;;;;;;;x
slave_host_1_desc;There are only a handful of slaves in this province, but enough to supplement the efforts of free laborers.;;;;;;;;;;;;;x
slave_host_2;Large Slave Camp;;;;;;;;;;;;;x
slave_host_2_desc;This province has many slave camps, which provide a large enough labor force to form a viable alternative to free servants.;;;;;;;;;;;;;x
slave_host_3;Massive Slave Camp;;;;;;;;;;;;;x
