EVTDESCTRAYAR1;The training yard is the perfect place to improve your martial ability.;Le terrain d'exercice est le lieu idéal pour améliorer vos capacités martiales.;Der Übungsplatz ist der perfekte Ort, um Eure Kamfkünste zu verbessern.;;La palestra es el lugar idoneo para entrenar.;;;;;;;;;x
training_yard_yes_power;My upbringing has prepared me well for this. ;Mon éducation m'a préparé à cela.;Meine Erziehung hat mich gut darauf vorbereitet.;;Mi educación me ha preparado bien para esto.;;;;;;;;;x
training_yard_yes;I have other more pressing concerns, but a strong ruler must still learn to fight. ;J'ai des affaires plus urgentes, mais un dirigeant fort se doit toujours d'apprendre à combattre.;Ich habe dringendere Probleme, ich muss dennoch lernen, zu kämpfen.;;Tengo otras preocupaciones más apremiantes, pero un gobernante fuerte tiene que aprender a luchar.;;;;;;;;;x
training_yard_slothful;I have no interest in these follies.;Je n'ai aucun intérêt dans ces sottises;Ich habe kein Interesse an diesen Torheiten.;;No tengo ningún interés en estas locuras.;;;;;;;;;x
EVTDESCTRAYAR2;[Root.job_marshal.GetTitledFirstName] has requested your permission to use the training yard to improve his personal skills.;[Root.job_marshal.GetTitledFirstName] a requis votre permission pour utiliser le terrain d'exercice.;[Root.job_marshal.GetTitledFirstName] bat um Eure Erlaubnis den Übungsplatz nutzen zu dürfen um seine persönlichen Fähigkeiten zu verbessern.;;[Root.job_marshal.GetTitledFirstName] me ha solicitado permiso para utilizar la palestra para mejorar sus habilidades personales.;;;;;;;;;x
allow_training_yard;Of course!;Bien sûr !;Aber natürlich!;;¡Por supuesto!;;;;;;;;;x
dont_allow_training;[Root.job_marshal.GetTitledFirstName] has more important tasks to do!;[Root.job_marshal.GetTitledFirstName] a des choses plus importantes à faire !;[Root.job_marshal.GetTitledFirstName] hat wichtigere Aufgaben zu tun!;;¡[Root.job_marshal.GetTitledFirstName] tiene tareas más importantes que hacer!.;;;;;;;;;x

EVTDESCTRAYAR3;It has been a long and arduous endeavor, but your quest to become a great and deadly warrior has slowly rid you of your slothful tendencies! Time once spent idling in your chambers is now devoted to honing your skills in combat. ;Ce fut une tâche longue et difficile, mais votre désir de devenir un guerrier reconnu et craint vous a permi de vous affranchir de votre paresse. Le temps autrefois inexploité passé dans vos appartements est désormais dédié à l'amélioration de vos techniques de combat.;Es war ein langes und schwieriges Unterfangen, aber Euer Bestreben, ein mächtiger und tödlicher Krieger zu werden hat Euch langsam von Euren faulen Neigungen befreit! Die Zeit die Ihr einst nichtstuend in Euren Gemächern verbrachtet, ist nun der Verbesserung Eurer Kampftechniken gewidmet.;;Ha sido un largo y arduo esfuerzo, pero tu búsqueda para convertirte en un gran y mortal guerrero te ha librado poco a poco de tus tendencias perezosas.El tiempo que una vez pasaste en tus aposentos ahora lo dedicas a perfeccionar tus habilidades en combate.;;;;;;;;;x
ambition_removes_slothfulness;Nothing and no one can stand in my way. ;Rien ni personne ne peut m'arrêter.;Nichts und niemand kann mich aufhalten.;;Nada ni nadie puede interponerse en mi camino.;;;;;;;;;x
EVTDESCTRAYAR4;As you are sparring with a practice dummy, your mind wanders and you begin to picture the face of your enemy staring back at you. You strike out in rage and a single thrust of your sword drives the point straight through the dummy, cracking the wood and shattering it into pieces. ;Tandis que vous vous entraînez sur un mannequin d'exercice, le visage de votre ennemi s'impose à votre esprit et semble vous fixer. La fureur vous gagne et d'un seul coup d'épée, vous brisez le mannequin.;Sowie Ihr mit einer Übungspuppe sparrt, entgleitet Euer phantasievolles Gemüt und Ihr beginnt die Gestalt Eures Feindes, welcher tief in Eure Augen starrt, vor Euch zu sehen. Voller Zorn holt Ihr aus, um mit einem einzigen Streich Eures Schwertes die hölzerne Übungspuppe in zerberstende Stücke entzwei zu schmettern.;;A medida que combates con un maniquí de práctica, tu mente se distrae y te empiezas a imaginar la cara de tu enemigo que te mira fijamente. Te dejas llevar por la rabia y de un solo golpe de tu espada arrojas al muñeco al suelo , la madera se agrieta y se rompe en pedazos.;;;;;;;;;x
impaler_breaks_dummies;DIE, FILTH!;Meurs, ordure !;Verrecke, du Sohn einer Ratte!;;¡MUERE, perro!;;;;;;;;;x
impaler_or_cruel_trait;You have this option because you are §YCruel§! or an §YImpaler§!. ;Cette option est disponible car vous possédez la caractéristique §YCruel§! ou §YImpaler§!.;Ihr habt diese Option, da Ihr §YGrausam§! oder ein §YPfähler§! seid. ;;Tienes esta opción porque eres §YCruel§! o un §YEmpalador§!.;;;;;;;;;x
weak_decides_to_train_hard;What strength [Root.Religion.GetRandomGodName] has denied me I will seize for myself. ;Je me saisirai de la force qui m'a été refusée par [Root.Religion.GetRandomGodName].;Welch Stärke [Root.Religion.GetRandomGodName] mir auch verwehrt hat, ich werde sie aus eigener Kraft ergreifen.;;¿Qué fuerza me ha negado [Root.Religion.GetRandomGodName]? Voy a aprovecharla para mí.;;;;;;;;;x
EVTDESCTRAYAR5;My courtiers used to mock me for barely being to hold a shortsword, but now I could cleave a man in two with a single stroke, if I wished. Let those who laughed at my weakness now tremble at my strength! ;Mes courtisans se moquaient de ma difficulté à tenir une épée, mais je peux désormais fendre un homme en deux si je le souhaite. Que ceux qui riaient de ma faiblesse tremblent désromais devant ma force !;Meine Höflinge pflegten mich einst noch dafür zu verspotten, selbst ein Kurzschwert nur schwer halten zu können, aber nun könnte ich einen ausgewachsenen Mann mit nur einem Schlag entzwei spalten, wenn ich dies wollte. Mögen diejenigen, die über meiner Schwachheit lachten, nun vor meiner Kraft erzittern!;;Mis cortesanos no paran de burlarse de mí por ser apenas capaz de levantar una espada corta, pero ahora podrían escindir a un hombre en dos con un solo golpe, si me hubiera gustado. ¡Que los que se rieron de mi debilidad ahora tiemblen ante mi fuerza!.;;;;;;;;;x
weak_got_stronger;No man can ever dare to call me 'the Weak' any longer!;Désormais, personne n'osera me surnommer 'le faible'.;Niemand wird es mehr wagen mich 'der Schwache' zu nennen.;;Ningún hombre puede atreverse a llamarme 'el débil' por más tiempo!;;;;;;;;;x


