From;To;Type;Through;-1;-1;-1;-1;Comment
405;411;major_river;1682;-1;-1;-1;-1;Province0405-Province0411
411;448;major_river;1682;-1;-1;-1;-1;Province0411-Province0448
429;433;major_river;1683;-1;-1;-1;-1;Province0429-Province0433
1032;1021;sea;1777;-1;-1;-1;-1;Province1032-Province1021
1118;1117;sea;1788;-1;-1;-1;-1;Province1118-Province1117
1103;1119;sea;1796;-1;-1;-1;-1;Province1103-Province1119
1158;1135;sea;1797;-1;-1;-1;-1;Province1158-Province1135
1156;1174;sea;1799;-1;-1;-1;-1;Province1156-Province1174
1247;1241;sea;1800;-1;-1;-1;-1;Province1247-Province1241
1267;1288;sea;1801;-1;-1;-1;-1;Province1267-Province1288
114;142;sea;1641;-1;-1;-1;-1;Province0114-Province0142
398;368;sea;1675;-1;-1;-1;-1;Province0398-Province0368
430;431;sea;1678;-1;-1;-1;-1;Province0430-Province0431
439;436;sea;1679;-1;-1;-1;-1;Province0439-Province0436
477;491;sea;1695;-1;-1;-1;-1;Province0477-Province0491
550;548;sea;1702;-1;-1;-1;-1;Province0550-Province0548
220;221;sea;1657;-1;-1;-1;-1;Province0220-Province0221
264;252;sea;1659;-1;-1;-1;-1;Province0264-Province0252
278;268;sea;1667;-1;-1;-1;-1;Province0278-Province0268
358;324;sea;1670;-1;-1;-1;-1;Province0358-Province0324
420;436;sea;1679;-1;-1;-1;-1;Province0420-Province0436
470;481;sea;1692;-1;-1;-1;-1;Province0470-Province0481
474;513;sea;1698;-1;-1;-1;-1;Province0474-Province0513
580;591;sea;1720;-1;-1;-1;-1;Province0580-Province0591
637;661;sea;1727;-1;-1;-1;-1;Province0637-Province0661
692;685;sea;1736;-1;-1;-1;-1;Province0692-Province0685
692;693;sea;1726;-1;-1;-1;-1;Province0692-Province0693
728;740;sea;1737;-1;-1;-1;-1;Province0728-Province0740
661;700;sea;1729;-1;-1;-1;-1;Province0661-Province0700
685;693;sea;1736;-1;-1;-1;-1;Province0685-Province0693
685;694;sea;1736;-1;-1;-1;-1;Province0685-Province0694
693;694;sea;1736;-1;-1;-1;-1;Province0693-Province0694
737;758;sea;1746;-1;-1;-1;-1;Province0737-Province0758
723;748;sea;1740;-1;-1;-1;-1;Province0723-Province0748
723;750;sea;1742;-1;-1;-1;-1;Province0723-Province0750
827;832;sea;1747;-1;-1;-1;-1;Province0827-Province0832
874;866;sea;1763;-1;-1;-1;-1;Province0874-Province0866
740;762;sea;1748;-1;-1;-1;-1;Province0740-Province0762
748;750;sea;1742;-1;-1;-1;-1;Province0748-Province0750
883;908;sea;1754;-1;-1;-1;-1;Province0883-Province0908
883;913;sea;1761;-1;-1;-1;-1;Province0883-Province0913
810;802;sea;1755;-1;-1;-1;-1;Province0810-Province0802
842;833;sea;1755;-1;-1;-1;-1;Province0842-Province0833
852;836;sea;1755;-1;-1;-1;-1;Province0852-Province0836
852;853;sea;1755;-1;-1;-1;-1;Province0852-Province0853
887;872;sea;1755;-1;-1;-1;-1;Province0887-Province0872
